phase,description,workdate,job_number
60-00021,"TEMP SOLID 4 WHITE",2024-01-03,1-05-4100
60-00022,"TEMP SOLID 4 YELLOW",2024-01-03,1-05-4100
60-00024,"TEMP SKIP 4 YELLOW",2024-01-03,1-05-4100
60-00021,"TEMP SOLID 4 WHITE",2024-01-03,1-05-4071
60-00022,"TEMP SOLID 4 YELLOW",2024-01-03,1-05-4071
60-00024,"TEMP SKIP 4 YELLOW",2024-01-03,1-05-4071
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-03,1-05-4071
60-00021,"TEMP SOLID 4 WHITE",2024-01-03,1-05-4071
60-00022,"TEMP SOLID 4 YELLOW",2024-01-03,1-05-4071
60-00024,"TEMP SKIP 4 YELLOW",2024-01-03,1-05-4071
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-03,1-05-4071
60-00021,"TEMP SOLID 4 WHITE",2024-01-04,1-05-4100
60-00022,"TEMP SOLID 4 YELLOW",2024-01-04,1-05-4100
60-00024,"TEMP SKIP 4 YELLOW",2024-01-04,1-05-4100
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-04,1-05-4100
60-00032,"TEMP SOLID 4 YELLOW",2024-01-04,1-05-4100
60-00034,"TEMP SKIP 4 YELLOW",2024-01-04,1-05-4100
60-00035,"TEMP SOLID 12 WHT STOPBAR",2024-01-04,1-05-4100
60-00021,"TEMP SOLID 4 WHITE",2024-01-04,1-05-4040
60-00022,"TEMP SOLID 4 YELLOW",2024-01-04,1-05-4040
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-04,1-05-4040
60-00021,"TEMP SOLID 4 WHITE",2024-01-04,1-05-4071
60-00022,"TEMP SOLID 4 YELLOW",2024-01-04,1-05-4071
60-00024,"TEMP SKIP 4 YELLOW",2024-01-04,1-05-4071
20-09025,"THERMO ARROW TP 2",2024-01-04,1-05-4136
20-09030,"THERMO SOL 24 WHT",2024-01-04,1-05-4136
20-09070,"THERMO RRHWY X SYMBOL",2024-01-03,1-95-0356
20-09025,"THERMO ARROW TP 2",2024-01-03,1-05-4136
20-09030,"THERMO SOL 24 WHT",2024-01-03,1-05-4136
20-09030,"THERMO SOL 24 WHT",2024-01-03,1-05-4136
10-09010,"THERMO 5 SKIP WHTYEL",2024-01-04,1-94-0168
10-09015,"THERMO 5 SOL WHTYEL",2024-01-04,1-94-0168
10-09010,"THERMO 5 SKIP WHTYEL",2024-01-03,1-94-0168
10-09015,"THERMO 5 SOL WHTYEL",2024-01-03,1-94-0168
20-09030,"THERMO SOL 24 WHT",2024-01-03,1-05-4136
60-00021,"TEMP SOLID 4 WHITE",2024-01-05,1-05-3746
60-00022,"TEMP SOLID 4 YELLOW",2024-01-05,1-05-3746
60-00023,"TEMP SKIP 4 WHITE",2024-01-05,1-05-3746
98-09000,"Unestimated Production - 7",2024-01-05,1-05-3746
60-09035,"HB PNT SOL 5 WHT",2024-01-05,1-04-1342
60-09030,"8 WHT SOL FDP",2024-01-07,3-05-1765
60-09040,"24 WHT SOL FDP",2024-01-07,3-05-1765
10-09025,"THERMO 5 SOL",2024-01-07,1-94-0176
60-00022,"TEMP SOLID 4 YELLOW",2024-01-05,1-05-4154
60-00023,"TEMP SKIP 4 WHITE",2024-01-05,1-05-4154
20-09005,"THERMO SOL 24 WHT",2024-01-07,1-05-4179
20-09015,"THERMO TRAF STRIPING YELL",2024-01-07,1-05-4179
20-09045,"THERMO ARROW TP 5",2024-01-07,1-05-4179
60-00021,"TEMP SOLID 4 WHITE",2024-01-08,1-05-4100
60-00022,"TEMP SOLID 4 YELLOW",2024-01-08,1-05-4100
60-00024,"TEMP SKIP 4 YELLOW",2024-01-08,1-05-4100
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-08,1-05-4100
60-00032,"TEMP SOLID 4 YELLOW",2024-01-08,1-05-4100
60-00034,"TEMP SKIP 4 YELLOW",2024-01-08,1-05-4100
60-00035,"TEMP SOLID 12 WHT STOPBAR",2024-01-08,1-05-4100
60-00032,"TEMP SOLID 4 YELLOW",2024-01-08,1-04-1342
60-00034,"TEMP SKIP 4 YELLOW",2024-01-08,1-04-1342
60-09000,"HB PNT SOL 5 WHT",2024-01-08,1-06-3145
60-09000,"HB PNT SOL 5 WHT",2024-01-08,1-06-3145
60-09000,"HB PNT SOL 5 WHT",2024-01-08,1-06-3145
60-09000,"HB PNT SOL 5 WHT",2024-01-08,1-06-3145
60-09000,"HB PNT SOL 5 WHT",2024-01-08,1-06-3145
60-09000,"HB PNT SOL 5 WHT",2024-01-08,1-06-3145
60-09000,"HB PNT SOL 5 WHT",2024-01-08,1-06-3145
10-09005,"4 WHT BROKEN PPM",2024-01-08,3-03-0820
10-09015,"4 WHT SOL PPM",2024-01-08,3-03-0820
10-09070,"4 YEL SOL PPM",2024-01-08,3-03-0820
10-09015,"4 WHT SOL PPM",2024-01-08,3-03-0820
10-09070,"4 YEL SOL PPM",2024-01-08,3-03-0820
60-00021,"TEMP SOLID 4 WHITE",2024-01-05,1-05-4100
60-00022,"TEMP SOLID 4 YELLOW",2024-01-05,1-05-4100
60-00024,"TEMP SKIP 4 YELLOW",2024-01-05,1-05-4100
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-05,1-05-4100
60-00032,"TEMP SOLID 4 YELLOW",2024-01-05,1-05-4100
60-00034,"TEMP SKIP 4 YELLOW",2024-01-05,1-05-4100
98-09000,"Triangles for speed humps",2024-01-08,1-97-0055
98-09000,"4” solid yellow",2024-01-08,1-05-4139
98-09000,"4” solid white",2024-01-08,1-05-4139
60-00021,"TEMP SOLID 4 WHITE",2024-01-08,1-05-4139
60-00022,"TEMP SOLID 4 YELLOW",2024-01-08,1-05-4139
60-00021,"TEMP SOLID 4 WHITE",2024-01-10,1-04-1385
60-00022,"TEMP SOLID 4 YELLOW",2024-01-10,1-04-1385
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-10,1-04-1385
90-00065,"TEMP PNT SOL 45 WHYW",2024-01-10,1-05-3915
90-00070,"TEMP RPMS",2024-01-10,1-05-3915
60-08800,SIGNS,2024-01-10,1-05-4197
60-00022,"TEMP SOLID 4 YELLOW",2024-01-11,1-04-1334
60-09000,"TEMP PNT 4 WHT BROKEN",2024-01-11,3-99-0127
60-09010,"TEMP PNT 4 WHITE SOLID",2024-01-11,3-99-0127
60-09015,"TEMP PNT 4 YEL SOLID",2024-01-11,3-99-0127
60-09040,"TEMP PNT WHT SINGLE ARROW",2024-01-11,3-99-0127
60-09015,"4 WHT SOL FDP",2024-01-11,3-99-0033
60-09055,"4 YEL SOL FDP",2024-01-11,3-99-0033
10-09080,"THERMO SOL 5 WHITE",2024-01-11,1-05-4088
10-09085,"THERMO SOL 5 YELLOW",2024-01-11,1-05-4088
60-09005,"HB PNT SOL 5 WHT",2024-01-11,1-06-3147
60-09010,"HB PNT 5 SOL YELL",2024-01-11,1-06-3147
60-09015,"HB PNT 5 SKIP WHT",2024-01-11,1-06-3147
20-09060,"THERMO TRAF STRIPING YELLOW",2024-01-11,1-05-4047
60-00021,"TEMP SOLID 4 WHITE",2024-01-12,1-04-1342
10-09080,"THERMO SOL 5 WHITE",2024-01-13,1-05-4088
10-09085,"THERMO SOL 5 YELLOW",2024-01-13,1-05-4088
10-09090,"THERMO SKIP 5 YELL",2024-01-13,1-05-4088
60-00031,"TEMP SOLID 4 WHITE",2024-01-15,1-05-4175
20-09060,"THERMO TRAF STRIPING YELLOW",2024-01-11,1-05-4047
30-09075,"PERM CLR MKR MONO DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
50-09155,"REMOVAL OF PAVEMENT MRKG GRIND",2024-01-14,3-04-0549
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
30-09080,"PERM YEL MKR BI DIR 4X4",2024-01-13,3-03-0817
